Date,Open,High,Low,Close,Adj Close,Volume
2017-04-13,5.010000,5.010000,5.010000,5.000000,5.000000,1
2017-04-18,5.007500,5.007500,5.007500,5.007500,5.007500,0
2017-04-19,5.007500,5.007500,5.007500,5.007500,5.007500,0
2017-04-20,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-04-21,5.010000,5.010000,5.010000,5.010000,5.010000,1
2017-04-24,5.010000,5.010000,5.010000,5.000000,5.000000,1
2017-04-25,5.001250,5.001250,5.001250,5.001250,5.001250,0
2017-04-26,4.998000,4.998000,4.998000,4.998000,4.998000,0
2017-04-27,5.010000,5.010000,5.010000,5.000000,5.000000,1
2017-04-28,5.003750,5.003750,5.003750,5.003750,5.003750,0
2017-05-02,5.003750,5.003750,5.003750,5.003750,5.003750,0
2017-05-03,5.002000,5.002000,5.002000,5.002000,5.002000,0
2017-05-04,4.999000,4.999000,4.999000,4.999000,4.999000,0
2017-05-05,4.998500,4.998500,4.998500,4.998500,4.998500,0
2017-05-08,4.997500,4.997500,4.997500,4.997500,4.997500,0
2017-05-09,4.996500,4.996500,4.996500,4.996500,4.996500,0
2017-05-10,4.997000,4.997000,4.997000,4.997000,4.997000,0
2017-05-11,5.000000,5.000000,5.000000,5.000000,5.000000,34863
2017-05-12,5.000000,5.000000,5.000000,5.000000,5.000000,17590
2017-05-15,5.002500,5.002500,5.002500,5.002500,5.002500,0
2017-05-16,5.003750,5.003750,5.003750,5.003750,5.003750,0
2017-05-17,5.007500,5.007500,5.007500,5.007500,5.007500,0
2017-05-18,5.007500,5.007500,5.007500,5.007500,5.007500,0
2017-05-19,5.006250,5.006250,5.006250,5.006250,5.006250,0
2017-05-22,5.006250,5.006250,5.006250,5.006250,5.006250,0
2017-05-23,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-05-24,5.003750,5.003750,5.003750,5.003750,5.003750,0
2017-05-25,5.006250,5.006250,5.006250,5.006250,5.006250,0
2017-05-26,5.006250,5.006250,5.006250,5.006250,5.006250,0
2017-05-30,5.006250,5.006250,5.006250,5.006250,5.006250,0
2017-05-31,5.010000,5.010000,5.010000,5.010000,5.010000,2000
2017-06-01,5.006250,5.006250,5.006250,5.006250,5.006250,0
2017-06-02,5.010000,5.010000,5.010000,5.010000,5.010000,0
2017-06-05,5.010000,5.010000,5.010000,5.010000,5.010000,1482
2017-06-06,5.010000,5.010000,5.010000,5.010000,5.010000,9980
2017-06-07,5.010000,5.010000,5.010000,5.010000,5.010000,23541
2017-06-08,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-06-09,5.003750,5.003750,5.003750,5.003750,5.003750,0
2017-06-12,5.003750,5.003750,5.003750,5.003750,5.003750,0
2017-06-13,5.003750,5.003750,5.003750,5.003750,5.003750,0
2017-06-14,5.010000,5.010000,5.010000,5.010000,5.010000,0
2017-06-15,5.010000,5.010000,5.010000,5.000000,5.000000,25970
2017-06-16,5.007500,5.007500,5.007500,5.007500,5.007500,0
2017-06-19,5.003750,5.003750,5.003750,5.003750,5.003750,0
2017-06-20,5.010000,5.010000,5.010000,5.000000,5.000000,24960
2017-06-21,5.010000,5.010000,5.010000,5.000000,5.000000,419490
2017-06-22,5.010000,5.010000,5.010000,5.010000,5.010000,73724
2017-06-23,5.006250,5.006250,5.006250,5.006250,5.006250,0
2017-06-26,5.006700,5.006700,5.006700,5.006700,5.006700,0
2017-06-27,5.004700,5.004700,5.004700,5.004700,5.004700,0
2017-06-28,5.010000,5.010000,5.010000,5.010000,5.010000,8165
2017-06-29,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-06-30,5.006250,5.006250,5.006250,5.006250,5.006250,0
2017-07-03,5.001250,5.001250,5.001250,5.001250,5.001250,0
2017-07-04,5.000750,5.000750,5.000750,5.000750,5.000750,0
2017-07-05,5.000000,5.000000,5.000000,5.000000,5.000000,15990
