DATE,FFWSJLOW
1933-05-05,0.125
1933-05-06,.
1933-05-07,.
1933-05-08,0.125
1933-05-09,0.25
1933-05-10,0.125
1933-05-11,0.125
1933-05-12,0.125
1933-05-13,.
1933-05-14,.
1933-05-15,.
1933-05-16,.
1933-05-17,.
1933-05-18,0.125
1933-05-19,.
1933-05-20,.
1933-05-21,.
1933-05-22,.
1933-05-23,.
1933-05-24,.
1933-05-25,.
1933-05-26,.
1933-05-27,.
1933-05-28,.
1933-05-29,.
1933-05-30,.
1933-05-31,0.125
1933-06-01,.
1933-06-02,0.125
1933-06-03,.
1933-06-04,.
1933-06-05,0.125
1933-06-06,0.125
1933-06-07,0.125
1933-06-08,0.125
1933-06-09,0.125
1933-06-10,.
1933-06-11,.
1933-06-12,0.125
1933-06-13,0.125
1933-06-14,0.125
1933-06-15,0.25
1933-06-16,.
1933-06-17,.
1933-06-18,.
1933-06-19,0.125
1933-06-20,.
1933-06-21,0.125
1933-06-22,0.125
1933-06-23,0.125
1933-06-24,.
1933-06-25,.
1933-06-26,.
1933-06-27,.
1933-06-28,.
1933-06-29,.
1933-06-30,0.25
1933-07-01,.
1933-07-02,.
1933-07-03,0.25
1933-07-04,.
1933-07-05,0.25
1933-07-06,0.5
1933-07-07,0.75
1933-07-08,.
1933-07-09,.
1933-07-10,0.25
1933-07-11,0.25
1933-07-12,0.125
1933-07-13,.
1933-07-14,.
1933-07-15,.
1933-07-16,.
1933-07-17,.
1933-07-18,0.5
1933-07-19,0.25
1933-07-20,0.125
1933-07-21,0.125
1933-07-22,.
1933-07-23,.
1933-07-24,0.125
1933-07-25,.
1933-07-26,0.125
1933-07-27,0.125
1933-07-28,0.125
1933-07-29,.
1933-07-30,.
1933-07-31,0.125
1933-08-01,.
1933-08-02,.
1933-08-03,.
1933-08-04,.
1933-08-05,.
1933-08-06,.
1933-08-07,.
1933-08-08,.
1933-08-09,.
1933-08-10,.
1933-08-11,.
1933-08-12,.
1933-08-13,.
1933-08-14,0.125
1933-08-15,0.125
1933-08-16,.
1933-08-17,.
1933-08-18,.
1933-08-19,.
1933-08-20,.
1933-08-21,.
1933-08-22,.
1933-08-23,.
1933-08-24,.
1933-08-25,.
1933-08-26,.
1933-08-27,.
1933-08-28,.
1933-08-29,.
1933-08-30,.
1933-08-31,.
1933-09-01,.
1933-09-02,.
1933-09-03,.
1933-09-04,.
1933-09-05,.
1933-09-06,.
1933-09-07,.
1933-09-08,.
1933-09-09,.
1933-09-10,.
1933-09-11,.
1933-09-12,.
1933-09-13,.
1933-09-14,.
1933-09-15,.
1933-09-16,.
1933-09-17,.
1933-09-18,.
