Date,Open,High,Low,Close,Adj Close,Volume
2018-05-10,5.030860,5.030860,5.030860,5.030860,5.030860,0
2018-05-11,5.036240,5.036240,5.036240,5.036240,5.036240,0
2018-05-14,5.021900,5.021900,5.021900,5.021900,5.021900,0
2018-05-15,4.949300,4.949300,4.949300,4.949300,4.949300,0
2018-05-16,4.945700,4.945700,4.945700,4.945700,4.945700,0
2018-05-17,4.921600,4.921600,4.921600,4.921600,4.921600,0
2018-05-18,4.953500,4.953500,4.953500,4.953500,4.953500,0
2018-05-21,4.959000,4.959000,4.959000,4.961500,4.961500,6010
2018-05-22,4.947500,4.947500,4.947500,4.947500,4.947500,0
2018-05-23,4.947500,4.947500,4.947500,4.947500,4.947500,0
2018-05-24,4.947500,4.947500,4.947500,4.947500,4.947500,0
2018-05-25,5.042000,5.042000,5.042000,5.058000,5.058000,6010
2018-05-29,5.128000,5.128000,5.128000,5.128000,5.128000,0
2018-05-30,5.128000,5.128000,5.128000,5.128000,5.128000,0
2018-05-31,5.128000,5.128000,5.128000,5.142500,5.142500,88
2018-06-01,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-04,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-05,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-06,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-07,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-08,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-11,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-12,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-13,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-14,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-15,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-18,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-19,5.108500,5.108500,5.108500,5.108500,5.108500,0
2018-06-20,5.108500,5.108500,5.108500,5.108500,5.108500,0
