"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2022","18,364.7","18,579.0","18,650.7","18,287.7","-","-1.10%"
"Jan 06, 2022","18,568.5","18,462.3","18,727.7","18,383.8","-","-0.04%"
"Jan 05, 2022","18,575.9","19,069.2","19,138.3","18,566.6","-","-3.12%"
"Jan 04, 2022","19,173.9","19,449.6","19,449.6","19,023.3","-","-1.33%"
"Jan 03, 2022","19,431.9","19,306.8","19,434.7","19,202.1","-","1.11%"
"Dec 31, 2021","19,217.9","19,325.3","19,388.1","19,214.6","-","-0.66%"
"Dec 30, 2021","19,346.2","19,412.5","19,511.6","19,329.7","-","-0.37%"
"Dec 29, 2021","19,418.5","19,441.6","19,486.7","19,306.8","-","0.01%"
"Dec 28, 2021","19,415.7","19,550.2","19,555.3","19,380.2","-","-0.48%"
"Dec 27, 2021","19,508.5","19,265.4","19,508.7","19,265.4","-","1.59%"
"Dec 23, 2021","19,203.2","19,080.2","19,265.1","19,061.7","-","0.79%"
"Dec 22, 2021","19,052.4","18,797.3","19,059.6","18,778.5","-","1.21%"
"Dec 21, 2021","18,824.1","18,598.2","18,837.5","18,389.9","-","2.31%"
"Dec 20, 2021","18,399.4","18,327.8","18,440.6","18,259.4","-","-1.10%"
"Dec 17, 2021","18,604.1","18,501.7","18,791.0","18,442.3","-","-0.39%"
"Dec 16, 2021","18,677.6","19,232.3","19,238.8","18,605.4","-","-2.61%"
"Dec 15, 2021","19,178.8","18,730.0","19,192.5","18,539.9","-","2.35%"
"Dec 14, 2021","18,737.6","18,693.8","18,832.2","18,535.0","-","-1.03%"
"Dec 13, 2021","18,933.4","19,210.4","19,227.8","18,925.1","-","-1.53%"
"Dec 10, 2021","19,227.0","19,163.8","19,235.4","18,999.8","-","1.13%"
"Dec 09, 2021","19,012.3","19,233.9","19,322.7","19,002.7","-","-1.49%"
"Dec 08, 2021","19,299.9","19,205.2","19,307.8","19,130.4","-","0.42%"
"Dec 07, 2021","19,219.0","18,999.9","19,240.2","18,986.9","-","3.03%"
"Dec 06, 2021","18,654.5","18,535.3","18,716.2","18,315.0","-","0.85%"
"Dec 03, 2021","18,496.5","18,881.9","18,941.0","18,297.8","-","-1.74%"
"Dec 02, 2021","18,824.6","18,589.8","18,913.5","18,565.8","-","0.72%"
"Dec 01, 2021","18,689.2","19,242.7","19,336.0","18,673.1","-","-1.59%"
"Nov 30, 2021","18,992.1","19,225.1","19,367.1","18,918.9","-","-1.60%"
"Nov 29, 2021","19,301.8","19,141.9","19,346.4","19,084.4","-","2.33%"
"Nov 26, 2021","18,861.7","19,111.0","19,187.7","18,818.6","-","-2.09%"
"Nov 24, 2021","19,264.5","19,069.7","19,267.8","18,956.4","-","0.38%"
"Nov 23, 2021","19,191.7","19,219.3","19,322.1","18,974.0","-","-0.45%"
"Nov 22, 2021","19,279.1","19,589.5","19,730.8","19,271.8","-","-1.16%"
"Nov 19, 2021","19,505.3","19,487.9","19,567.1","19,447.1","-","0.55%"
"Nov 18, 2021","19,399.0","19,299.9","19,421.3","19,194.8","-","1.07%"
"Nov 17, 2021","19,192.8","19,217.5","19,299.8","19,156.0","-","0.01%"
"Nov 16, 2021","19,191.0","19,026.9","19,214.2","19,010.9","-","0.75%"
"Nov 15, 2021","19,049.1","19,093.6","19,128.6","18,939.9","-","-0.06%"
"Nov 12, 2021","19,060.3","18,917.1","19,082.3","18,840.2","-","1.05%"
"Nov 11, 2021","18,862.1","18,958.1","18,960.7","18,846.7","-","0.29%"
"Nov 10, 2021","18,806.9","18,926.3","19,088.0","18,712.5","-","-1.44%"
"Nov 09, 2021","19,081.1","19,281.1","19,295.1","19,020.7","-","-0.71%"
